emotion,songs
boredom,https://naasongs.vip/myuploads/uploads/Aadhavan/Hasile-Fisile.mp3
neutral,https://naasongs.vip/myuploads/uploads/Sangathamizhan/Azhagu%20Azhagu-Masstamilan.In.mp3
love,https://naasongs.vip/myuploads/uploads/Sangathamizhan/Sandakari%20Neethan-Masstamilan.In.mp3
love,https://naasongs.vip/myuploads/uploads/Thadam/Inayae.mp3
sadness,https://naasongs.vip/myuploads/uploads/Aashiqui%202/Hum%20Mar%20Jayenge.mp3
fun,https://naasongs.vip/myuploads/uploads/Sangathamizhan/Kamala-Masstamilan.In.mp3
relief,https://naasongs.vip/myuploads/uploads/Kadaram%20Kondan%20/Thaarame%20Thaarame.mp3
fun,https://naasongs.vip/myuploads/uploads/Yeh%20Jawaani%20Hai%20Deewani/Balam%20Pichkari.mp3
love,https://naasongs.vip/myuploads/uploads/Yeh%20Jawaani%20Hai%20Deewani/Kabira.mp3
neutral,https://naasongs.vip/myuploads/uploads/Vicky%20Donor/Pani%20Da%20Rang.mp3
relief,https://naasongs.vip/myuploads/uploads/Taare%20Zameen%20Par/01.%20Taare%20Zameen%20Par.mp3
fun,https://naasongs.vip/myuploads/uploads/Taare%20Zameen%20Par/03.%20Bum%20Bum%20Bole.mp3
enthusiasm,https://naasongs.vip/myuploads/uploads/Raabta/Main%20Tera%20Boyfriend.mp3
worry,https://naasongs.vip/myuploads/uploads/Aashiqui%202/Tum%20Hi%20Ho.mp3
boredom,https://naasongs.vip/myuploads/uploads/Aashiqui%202/Chahun%20Main%20Ya%20Naa.mp3
happiness,https://naasongs.vip/myuploads/uploads/2%20States/Mast%20Magan.mp3
neutral,https://naasongs.vip/myuploads/uploads/Humpty%20Sharma%20Ki%20Dulhania/Samjhawan.mp3
enthusiasm,https://naasongs.vip/myuploads/uploads/Chennai%20Express/Kashmir%20Main%20Tu%20Kanyakumari.mp3
happiness,https://naasongs.vip/myuploads/uploads/Happy%20New%20Year/Manwa%20Laage.mp3
sadness,https://naasongs.vip/myuploads/uploads/Hamari%20Adhuri%20Kahani%20/Hamari%20Adhuri%20Kahani.mp3
neutral,https://naasongs.vip/myuploads/uploads/Jab%20Harry%20Met%20Sejal/Hawayein.mp3
worry,https://naasongs.vip/myuploads/uploads/Bahubali%20/01%20-%20Mamathala%20Thalli.mp3
empty,https://naasongs.vip/myuploads/uploads/DJ%20Songs/Kgf%20mother%20DJ%20song.mp3
worry,https://mp3.filmisongs.com/En%20Iniya%20Thanimaye%20Mp3%20Song%20From%20Teddy%20Movie.mp3
relief,https://naasongs.vip/myuploads/uploads/Jersey/02%20-%20Spirit%20Of%20Jersey.mp3
empty,https://naasongs.vip/myuploads/uploads/Om%20Shanthi%20Om%20/Aankhon%20Mein%20Teri%20Ajab%20Si.mp3
empty,https://naasongs.vip/myuploads/uploads/Bajrangi%20Bhaijaan/07%20Tu%20Jo%20Mila%20(Bajrangi%20Bhaijaan)%20KK%20190Kbps.mp3
sadness,https://naasongs.vip/myuploads/uploads/%20Ae%20Dil%20Hai%20Mushkil%20/Bulleya.mp3
sadness,https://naasongs.vip/myuploads/uploads/Barfi/08.%20Phir%20Le%20Aaya%20Dil.mp3
sadness,https://naasongs.vip/myuploads/uploads/Ae%20Dil%20Hai%20Mushkil/Channa%20Mereya.mp3
motivation,https://naasongs.vip/myuploads/uploads/Chak%20De%20India/Chak%20De%20India%20Full%20Title%20Song%20Shah%20Rukh%20Khan%20Sukhvinder%20Singh%20Salim%20Marianne%20D
fun,https://naasongs.vip/myuploads/uploads/Bollywood%20Songs/Lungi%20Dance.mp3
love,https://mp3teluguwap.net/mp3/2019/Majili%20(2019)%20-%20128KBPS/Priyathama%20Priyathama%20-%20SenSongsmp3.Co.mp3
motivation,https://pwdown.com/110571/02.%20Badal%20Pe%20Paon%20Hain.mp3
enthusiasm,https://naasongs.vip/AllSongs/myuploads/uploads/Agneepath%202012%20-%20Chikni%20Chameli.mp3
enthusiasm,https://naasongs.vip/myuploads/uploads/Gunday/02%20Tune%20Maari%20Entriyaan.mp3
enthusiasm,https://naasongs.vip/myuploads/uploads/Yeh%20Jawaani%20Hai%20Deewani%20/Badtameez%20Dil.mp3
empty,https://naasongs.vip/myuploads/uploads/Titanic/Titanic%20-%20My%20Heart%20Will%20Go%20On.mp3
love,https://naasongs.vip/myuploads/uploads/English%20Songs/Closer.mp3
empty,https://naasongs.vip/myuploads/uploads/English%20Songs/Lovely.mp3
